#Header as per the description in tests/validateCat.py.  The columns (if they
#exist) must be labeled with these names, although not necessarily in this order.  Columns that have
#no default listed must exist.  There are other caveats in settings.py
#id| ra| decl| umag| gmag| rmag| imag| zmag| ymag| specname| muRa| muDec| distance| doRed| varDictionary
19|210.000000|-29.424242|17.0095|17.0095|17.0095|17.0095|17.0095|17.0095|sed_flat_norm.txt.gz|0.|0.|10.1710|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.1710}
20|210.000000|-29.393939|17.0100|17.0100|17.0100|17.0100|17.0100|17.0100|sed_flat_norm.txt.gz|0.|0.|10.1800|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1800}
21|210.000000|-29.363636|17.0105|17.0105|17.0105|17.0105|17.0105|17.0105|sed_flat_norm.txt.gz|0.|0.|10.1890|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.1890}
22|210.000000|-29.333333|17.0110|17.0110|17.0110|17.0110|17.0110|17.0110|sed_flat_norm.txt.gz|0.|0.|10.1980|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.1980}
23|210.000000|-29.303030|17.0115|17.0115|17.0115|17.0115|17.0115|17.0115|sed_flat_norm.txt.gz|0.|0.|10.2070|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2070}
24|210.000000|-29.272727|17.0120|17.0120|17.0120|17.0120|17.0120|17.0120|sed_flat_norm.txt.gz|0.|0.|10.2160|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.2160}
25|210.000000|-29.242424|17.0125|17.0125|17.0125|17.0125|17.0125|17.0125|sed_flat_norm.txt.gz|0.|0.|10.2250|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2250}
26|210.000000|-29.212121|17.0130|17.0130|17.0130|17.0130|17.0130|17.0130|sed_flat_norm.txt.gz|0.|0.|10.2340|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.2340}
27|210.000000|-29.181818|17.0135|17.0135|17.0135|17.0135|17.0135|17.0135|sed_flat_norm.txt.gz|0.|0.|10.2430|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2430}
28|210.000000|-29.151515|17.0140|17.0140|17.0140|17.0140|17.0140|17.0140|sed_flat_norm.txt.gz|0.|0.|10.2520|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.2520}
29|210.000000|-29.121212|17.0145|17.0145|17.0145|17.0145|17.0145|17.0145|sed_flat_norm.txt.gz|0.|0.|10.2610|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2610}
30|210.000000|-29.090909|17.0150|17.0150|17.0150|17.0150|17.0150|17.0150|sed_flat_norm.txt.gz|0.|0.|10.2700|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.2700}
31|210.000000|-29.060606|17.0155|17.0155|17.0155|17.0155|17.0155|17.0155|sed_flat_norm.txt.gz|0.|0.|10.2790|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2790}
32|210.000000|-29.030303|17.0160|17.0160|17.0160|17.0160|17.0160|17.0160|sed_flat_norm.txt.gz|0.|0.|10.2880|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.2880}
33|210.000000|-29.000000|17.0165|17.0165|17.0165|17.0165|17.0165|17.0165|sed_flat_norm.txt.gz|0.|0.|10.2970|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.2970}
34|210.000000|-28.969697|17.0170|17.0170|17.0170|17.0170|17.0170|17.0170|sed_flat_norm.txt.gz|0.|0.|10.3060|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3060}
35|210.000000|-28.939394|17.0175|17.0175|17.0175|17.0175|17.0175|17.0175|sed_flat_norm.txt.gz|0.|0.|10.3150|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.3150}
36|210.000000|-28.909091|17.0180|17.0180|17.0180|17.0180|17.0180|17.0180|sed_flat_norm.txt.gz|0.|0.|10.3240|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3240}
37|210.000000|-28.878788|17.0185|17.0185|17.0185|17.0185|17.0185|17.0185|sed_flat_norm.txt.gz|0.|0.|10.3330|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.3330}
38|210.000000|-28.848485|17.0190|17.0190|17.0190|17.0190|17.0190|17.0190|sed_flat_norm.txt.gz|0.|0.|10.3420|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3420}
39|210.000000|-28.818182|17.0195|17.0195|17.0195|17.0195|17.0195|17.0195|sed_flat_norm.txt.gz|0.|0.|10.3510|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.3510}
40|210.000000|-28.787879|17.0200|17.0200|17.0200|17.0200|17.0200|17.0200|sed_flat_norm.txt.gz|0.|0.|10.3600|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3600}
41|210.000000|-28.757576|17.0205|17.0205|17.0205|17.0205|17.0205|17.0205|sed_flat_norm.txt.gz|0.|0.|10.3690|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.3690}
42|210.000000|-28.727273|17.0210|17.0210|17.0210|17.0210|17.0210|17.0210|sed_flat_norm.txt.gz|0.|0.|10.3780|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3780}
43|210.000000|-28.696970|17.0215|17.0215|17.0215|17.0215|17.0215|17.0215|sed_flat_norm.txt.gz|0.|0.|10.3870|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.3870}
44|210.000000|-28.666667|17.0220|17.0220|17.0220|17.0220|17.0220|17.0220|sed_flat_norm.txt.gz|0.|0.|10.3960|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.3960}
45|210.000000|-28.636364|17.0225|17.0225|17.0225|17.0225|17.0225|17.0225|sed_flat_norm.txt.gz|0.|0.|10.4050|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4050}
46|210.000000|-28.606061|17.0230|17.0230|17.0230|17.0230|17.0230|17.0230|sed_flat_norm.txt.gz|0.|0.|10.4140|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.4140}
47|210.000000|-28.575758|17.0235|17.0235|17.0235|17.0235|17.0235|17.0235|sed_flat_norm.txt.gz|0.|0.|10.4230|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4230}
48|210.000000|-28.545455|17.0240|17.0240|17.0240|17.0240|17.0240|17.0240|sed_flat_norm.txt.gz|0.|0.|10.4320|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.4320}
49|210.000000|-28.515152|17.0245|17.0245|17.0245|17.0245|17.0245|17.0245|sed_flat_norm.txt.gz|0.|0.|10.4410|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4410}
50|210.000000|-28.484848|17.0250|17.0250|17.0250|17.0250|17.0250|17.0250|sed_flat_norm.txt.gz|0.|0.|10.4500|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.4500}
51|210.000000|-28.454545|17.0255|17.0255|17.0255|17.0255|17.0255|17.0255|sed_flat_norm.txt.gz|0.|0.|10.4590|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4590}
52|210.000000|-28.424242|17.0260|17.0260|17.0260|17.0260|17.0260|17.0260|sed_flat_norm.txt.gz|0.|0.|10.4680|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.4680}
53|210.000000|-28.393939|17.0265|17.0265|17.0265|17.0265|17.0265|17.0265|sed_flat_norm.txt.gz|0.|0.|10.4770|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4770}
54|210.000000|-28.363636|17.0270|17.0270|17.0270|17.0270|17.0270|17.0270|sed_flat_norm.txt.gz|0.|0.|10.4860|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.4860}
55|210.000000|-28.333333|17.0275|17.0275|17.0275|17.0275|17.0275|17.0275|sed_flat_norm.txt.gz|0.|0.|10.4950|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.4950}
56|210.000000|-28.303030|17.0280|17.0280|17.0280|17.0280|17.0280|17.0280|sed_flat_norm.txt.gz|0.|0.|10.5040|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5040}
57|210.000000|-28.272727|17.0285|17.0285|17.0285|17.0285|17.0285|17.0285|sed_flat_norm.txt.gz|0.|0.|10.5130|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.5130}
58|210.000000|-28.242424|17.0290|17.0290|17.0290|17.0290|17.0290|17.0290|sed_flat_norm.txt.gz|0.|0.|10.5220|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5220}
59|210.000000|-28.212121|17.0295|17.0295|17.0295|17.0295|17.0295|17.0295|sed_flat_norm.txt.gz|0.|0.|10.5310|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.5310}
60|210.000000|-28.181818|17.0300|17.0300|17.0300|17.0300|17.0300|17.0300|sed_flat_norm.txt.gz|0.|0.|10.5400|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5400}
61|210.000000|-28.151515|17.0305|17.0305|17.0305|17.0305|17.0305|17.0305|sed_flat_norm.txt.gz|0.|0.|10.5490|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.5490}
62|210.000000|-28.121212|17.0310|17.0310|17.0310|17.0310|17.0310|17.0310|sed_flat_norm.txt.gz|0.|0.|10.5580|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5580}
63|210.000000|-28.090909|17.0315|17.0315|17.0315|17.0315|17.0315|17.0315|sed_flat_norm.txt.gz|0.|0.|10.5670|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.5670}
64|210.000000|-28.060606|17.0320|17.0320|17.0320|17.0320|17.0320|17.0320|sed_flat_norm.txt.gz|0.|0.|10.5760|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5760}
65|210.000000|-28.030303|17.0325|17.0325|17.0325|17.0325|17.0325|17.0325|sed_flat_norm.txt.gz|0.|0.|10.5850|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.5850}
66|210.000000|-28.000000|17.0330|17.0330|17.0330|17.0330|17.0330|17.0330|sed_flat_norm.txt.gz|0.|0.|10.5940|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.5940}
67|210.000000|-27.969697|17.0335|17.0335|17.0335|17.0335|17.0335|17.0335|sed_flat_norm.txt.gz|0.|0.|10.6030|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6030}
68|210.000000|-27.939394|17.0340|17.0340|17.0340|17.0340|17.0340|17.0340|sed_flat_norm.txt.gz|0.|0.|10.6120|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.6120}
69|210.000000|-27.909091|17.0345|17.0345|17.0345|17.0345|17.0345|17.0345|sed_flat_norm.txt.gz|0.|0.|10.6210|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6210}
70|210.000000|-27.878788|17.0350|17.0350|17.0350|17.0350|17.0350|17.0350|sed_flat_norm.txt.gz|0.|0.|10.6300|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.6300}
71|210.000000|-27.848485|17.0355|17.0355|17.0355|17.0355|17.0355|17.0355|sed_flat_norm.txt.gz|0.|0.|10.6390|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6390}
72|210.000000|-27.818182|17.0360|17.0360|17.0360|17.0360|17.0360|17.0360|sed_flat_norm.txt.gz|0.|0.|10.6480|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.6480}
73|210.000000|-27.787879|17.0365|17.0365|17.0365|17.0365|17.0365|17.0365|sed_flat_norm.txt.gz|0.|0.|10.6570|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6570}
74|210.000000|-27.757576|17.0370|17.0370|17.0370|17.0370|17.0370|17.0370|sed_flat_norm.txt.gz|0.|0.|10.6660|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.6660}
75|210.000000|-27.727273|17.0375|17.0375|17.0375|17.0375|17.0375|17.0375|sed_flat_norm.txt.gz|0.|0.|10.6750|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6750}
76|210.000000|-27.696970|17.0380|17.0380|17.0380|17.0380|17.0380|17.0380|sed_flat_norm.txt.gz|0.|0.|10.6840|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.6840}
77|210.000000|-27.666667|17.0385|17.0385|17.0385|17.0385|17.0385|17.0385|sed_flat_norm.txt.gz|0.|0.|10.6930|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.6930}
78|210.000000|-27.636364|17.0390|17.0390|17.0390|17.0390|17.0390|17.0390|sed_flat_norm.txt.gz|0.|0.|10.7020|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7020}
79|210.000000|-27.606061|17.0395|17.0395|17.0395|17.0395|17.0395|17.0395|sed_flat_norm.txt.gz|0.|0.|10.7110|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.7110}
80|210.000000|-27.575758|17.0400|17.0400|17.0400|17.0400|17.0400|17.0400|sed_flat_norm.txt.gz|0.|0.|10.7200|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7200}
81|210.000000|-27.545455|17.0405|17.0405|17.0405|17.0405|17.0405|17.0405|sed_flat_norm.txt.gz|0.|0.|10.7290|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.7290}
82|210.000000|-27.515152|17.0410|17.0410|17.0410|17.0410|17.0410|17.0410|sed_flat_norm.txt.gz|0.|0.|10.7380|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7380}
83|210.000000|-27.484848|17.0415|17.0415|17.0415|17.0415|17.0415|17.0415|sed_flat_norm.txt.gz|0.|0.|10.7470|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.7470}
84|210.000000|-27.454545|17.0420|17.0420|17.0420|17.0420|17.0420|17.0420|sed_flat_norm.txt.gz|0.|0.|10.7560|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7560}
85|210.000000|-27.424242|17.0425|17.0425|17.0425|17.0425|17.0425|17.0425|sed_flat_norm.txt.gz|0.|0.|10.7650|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.7650}
86|210.000000|-27.393939|17.0430|17.0430|17.0430|17.0430|17.0430|17.0430|sed_flat_norm.txt.gz|0.|0.|10.7740|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7740}
87|210.000000|-27.363636|17.0435|17.0435|17.0435|17.0435|17.0435|17.0435|sed_flat_norm.txt.gz|0.|0.|10.7830|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.7830}
88|210.000000|-27.333333|17.0440|17.0440|17.0440|17.0440|17.0440|17.0440|sed_flat_norm.txt.gz|0.|0.|10.7920|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.7920}
89|210.000000|-27.303030|17.0445|17.0445|17.0445|17.0445|17.0445|17.0445|sed_flat_norm.txt.gz|0.|0.|10.8010|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8010}
90|210.000000|-27.272727|17.0450|17.0450|17.0450|17.0450|17.0450|17.0450|sed_flat_norm.txt.gz|0.|0.|10.8100|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.8100}
91|210.000000|-27.242424|17.0455|17.0455|17.0455|17.0455|17.0455|17.0455|sed_flat_norm.txt.gz|0.|0.|10.8190|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8190}
92|210.000000|-27.212121|17.0460|17.0460|17.0460|17.0460|17.0460|17.0460|sed_flat_norm.txt.gz|0.|0.|10.8280|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.8280}
93|210.000000|-27.181818|17.0465|17.0465|17.0465|17.0465|17.0465|17.0465|sed_flat_norm.txt.gz|0.|0.|10.8370|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8370}
94|210.000000|-27.151515|17.0470|17.0470|17.0470|17.0470|17.0470|17.0470|sed_flat_norm.txt.gz|0.|0.|10.8460|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.8460}
95|210.000000|-27.121212|17.0475|17.0475|17.0475|17.0475|17.0475|17.0475|sed_flat_norm.txt.gz|0.|0.|10.8550|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8550}
96|210.000000|-27.090909|17.0480|17.0480|17.0480|17.0480|17.0480|17.0480|sed_flat_norm.txt.gz|0.|0.|10.8640|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.8640}
97|210.000000|-27.060606|17.0485|17.0485|17.0485|17.0485|17.0485|17.0485|sed_flat_norm.txt.gz|0.|0.|10.8730|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8730}
98|210.000000|-27.030303|17.0490|17.0490|17.0490|17.0490|17.0490|17.0490|sed_flat_norm.txt.gz|0.|0.|10.8820|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.8820}
99|210.000000|-27.000000|17.0495|17.0495|17.0495|17.0495|17.0495|17.0495|sed_flat_norm.txt.gz|0.|0.|10.8910|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.8910}
100|210.030303|-30.000000|17.0500|17.0500|17.0500|17.0500|17.0500|17.0500|sed_flat_norm.txt.gz|0.|0.|10.9000|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9000}
101|210.030303|-29.969697|17.0505|17.0505|17.0505|17.0505|17.0505|17.0505|sed_flat_norm.txt.gz|0.|0.|10.9090|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9090}
102|210.030303|-29.939394|17.0510|17.0510|17.0510|17.0510|17.0510|17.0510|sed_flat_norm.txt.gz|0.|0.|10.9180|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9180}
103|210.030303|-29.909091|17.0515|17.0515|17.0515|17.0515|17.0515|17.0515|sed_flat_norm.txt.gz|0.|0.|10.9270|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9270}
104|210.030303|-29.878788|17.0520|17.0520|17.0520|17.0520|17.0520|17.0520|sed_flat_norm.txt.gz|0.|0.|10.9360|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9360}
105|210.030303|-29.848485|17.0525|17.0525|17.0525|17.0525|17.0525|17.0525|sed_flat_norm.txt.gz|0.|0.|10.9450|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9450}
106|210.030303|-29.818182|17.0530|17.0530|17.0530|17.0530|17.0530|17.0530|sed_flat_norm.txt.gz|0.|0.|10.9540|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9540}
107|210.030303|-29.787879|17.0535|17.0535|17.0535|17.0535|17.0535|17.0535|sed_flat_norm.txt.gz|0.|0.|10.9630|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9630}
108|210.030303|-29.757576|17.0540|17.0540|17.0540|17.0540|17.0540|17.0540|sed_flat_norm.txt.gz|0.|0.|10.9720|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9720}
109|210.030303|-29.727273|17.0545|17.0545|17.0545|17.0545|17.0545|17.0545|sed_flat_norm.txt.gz|0.|0.|10.9810|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9810}
110|210.030303|-29.696970|17.0550|17.0550|17.0550|17.0550|17.0550|17.0550|sed_flat_norm.txt.gz|0.|0.|10.9900|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':1.9900}
111|210.030303|-29.666667|17.0555|17.0555|17.0555|17.0555|17.0555|17.0555|sed_flat_norm.txt.gz|0.|0.|10.9990|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':1.9990}
112|210.030303|-29.636364|17.0560|17.0560|17.0560|17.0560|17.0560|17.0560|sed_flat_norm.txt.gz|0.|0.|11.0080|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0080}
113|210.030303|-29.606061|17.0565|17.0565|17.0565|17.0565|17.0565|17.0565|sed_flat_norm.txt.gz|0.|0.|11.0170|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.0170}
114|210.030303|-29.575758|17.0570|17.0570|17.0570|17.0570|17.0570|17.0570|sed_flat_norm.txt.gz|0.|0.|11.0260|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0260}
115|210.030303|-29.545455|17.0575|17.0575|17.0575|17.0575|17.0575|17.0575|sed_flat_norm.txt.gz|0.|0.|11.0350|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.0350}
116|210.030303|-29.515152|17.0580|17.0580|17.0580|17.0580|17.0580|17.0580|sed_flat_norm.txt.gz|0.|0.|11.0440|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0440}
117|210.030303|-29.484848|17.0585|17.0585|17.0585|17.0585|17.0585|17.0585|sed_flat_norm.txt.gz|0.|0.|11.0530|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.0530}
118|210.030303|-29.454545|17.0590|17.0590|17.0590|17.0590|17.0590|17.0590|sed_flat_norm.txt.gz|0.|0.|11.0620|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0620}
119|210.030303|-29.424242|17.0595|17.0595|17.0595|17.0595|17.0595|17.0595|sed_flat_norm.txt.gz|0.|0.|11.0710|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.0710}
120|210.030303|-29.393939|17.0600|17.0600|17.0600|17.0600|17.0600|17.0600|sed_flat_norm.txt.gz|0.|0.|11.0800|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0800}
121|210.030303|-29.363636|17.0605|17.0605|17.0605|17.0605|17.0605|17.0605|sed_flat_norm.txt.gz|0.|0.|11.0890|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.0890}
122|210.030303|-29.333333|17.0610|17.0610|17.0610|17.0610|17.0610|17.0610|sed_flat_norm.txt.gz|0.|0.|11.0980|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.0980}
123|210.030303|-29.303030|17.0615|17.0615|17.0615|17.0615|17.0615|17.0615|sed_flat_norm.txt.gz|0.|0.|11.1070|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.1070}
124|210.030303|-29.272727|17.0620|17.0620|17.0620|17.0620|17.0620|17.0620|sed_flat_norm.txt.gz|0.|0.|11.1160|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.1160}
125|210.030303|-29.242424|17.0625|17.0625|17.0625|17.0625|17.0625|17.0625|sed_flat_norm.txt.gz|0.|0.|11.1250|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.1250}
126|210.030303|-29.212121|17.0630|17.0630|17.0630|17.0630|17.0630|17.0630|sed_flat_norm.txt.gz|0.|0.|11.1340|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.1340}
127|210.030303|-29.181818|17.0635|17.0635|17.0635|17.0635|17.0635|17.0635|sed_flat_norm.txt.gz|0.|0.|11.1430|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.1430}
128|210.030303|-29.151515|17.0640|17.0640|17.0640|17.0640|17.0640|17.0640|sed_flat_norm.txt.gz|0.|0.|11.1520|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.1520}
129|210.030303|-29.121212|17.0645|17.0645|17.0645|17.0645|17.0645|17.0645|sed_flat_norm.txt.gz|0.|0.|11.1610|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.1610}
130|210.030303|-29.090909|17.0650|17.0650|17.0650|17.0650|17.0650|17.0650|sed_flat_norm.txt.gz|0.|0.|11.1700|1|{'t0':52000, 'lcfile':'lc1.txt', 'period':2.1700}
131|210.030303|-29.060606|17.0655|17.0655|17.0655|17.0655|17.0655|17.0655|sed_flat_norm.txt.gz|0.|0.|11.1790|1|{'t0':52000, 'lcfile':'lc2.txt', 'period':2.1790}
